Stop,NextStop,Direction,Line,Period,AvgVolatilityMinutes
BAW,CHE,Outbound to,Green,Midday,1.8512763087356403
FOU,MYS,Inbound to,Red,Midday,1.849204088317513
JAM,GOL,Outbound to,Red,Evening,1.8373232564887612
BEL,RED,Inbound to,Red,Evening,1.8364159908820314
COW,DUN,Outbound to,Green,Evening,1.8346592120267669
BEL,RED,Inbound to,Red,Morning,1.834582086590554
SAN,GAL,Outbound to,Green,Evening,1.8269827775670546
COO,KIN,Inbound to,Red,Night,1.8223456574505879
TRY,STS,Outbound to,Green,Morning,1.8221100056097348
ABB,SDK,Inbound to,Red,Night,1.8175227340775932
RIA,MUS,Inbound to,Red,Morning,1.8149082289185194
DUN,STI,Outbound to,Green,Morning,1.8146676221270457
GLE,BAW,Outbound to,Green,Morning,1.8127067654333076
CCK,LEO,Inbound to,Green,Morning,1.803570789459785
WIN,STI,Outbound to,Green,Morning,1.8031486433822108
WES,OUP,Inbound to,Green,Night,1.8016818974062538
DAW,OUP,Inbound to,Green,Evening,1.8013956955917485
COW,DUN,Outbound to,Green,Morning,1.7986467216579667
BEL,RED,Inbound to,Red,Midday,1.791390296702495
CON,JER,Outbound to,Red,Evening,1.7913371790059205
BEL,RED,Inbound to,Red,Night,1.7902001699414696
ABB,MYS,Inbound to,Red,Morning,1.7897044443874237
DAW,OGP,Inbound to,Green,Evening,1.7886732657283704
FET,KIN,Inbound to,Red,Evening,1.7877582612049463
WIN,BEE,Inbound to,Green,Night,1.7842836597768268
FOU,GDK,Inbound to,Red,Morning,1.779631072873849
GDK,FOU,Outbound to,Red,Evening,1.7795520659861446
FAT,MUS,Inbound to,Red,Evening,1.778894159353856
BUS,JER,Outbound to,Red,Midday,1.7759217899554147
DAW,STS,Inbound to,Green,Midday,1.7736595094762566
BRO,GRA,Outbound to,Green,Evening,1.7670007074057195
GLE,BAW,Outbound to,Green,Midday,1.7639548786322403
KIL,CPK,Outbound to,Green,Midday,1.7618056767913353
FOU,GDK,Inbound to,Red,Night,1.759234892618779
FET,KIN,Inbound to,Red,Midday,1.755978075434412
CHA,MIL,Outbound to,Green,Evening,1.7544377575701324
FET,FOR,Outbound to,Red,Midday,1.7512776493324371
CCK,GAL,Inbound to,Green,Morning,1.741012193176752
KIN,HOS,Outbound to,Red,Midday,1.7401309159012897
HAR,DAW,Inbound to,Green,Morning,1.7400500304854767
KYL,GOL,Inbound to,Red,Evening,1.7390795545695346
BLA,FAT,Inbound to,Red,Midday,1.737075370731012
STS,OUP,Inbound to,Green,Morning,1.7368820510498864
BEE,WIN,Outbound to,Green,Morning,1.7297928593501517
STS,CHA,Outbound to,Green,Evening,1.7279567597618013
BLA,RIA,Inbound to,Red,Morning,1.723577735838673
JER,MUS,Outbound to,Red,Morning,1.7228655401730193
KIL,GLE,Outbound to,Green,Midday,1.722482059251836
KYL,KIN,Outbound to,Red,Evening,1.7185666006022835
FAT,MUS,Inbound to,Red,Morning,1.7086372708534225
DUN,COW,Inbound to,Green,Evening,1.708177499667517
CPK,BAW,Outbound to,Green,Midday,1.7064420425096318
ABB,MYS,Inbound to,Red,Evening,1.7062616907714254
OGP,DOM,Inbound to,Green,Evening,1.7033060156420559
BAW,LAU,Outbound to,Green,Night,1.7005133922588158
RED,BLU,Inbound to,Red,Midday,1.6949710703856493
RAN,MIL,Outbound to,Green,Morning,1.6925244912005304
KIN,CVN,Outbound to,Red,Evening,1.6918813668355668
STS,CHA,Outbound to,Green,Night,1.6910156139075785
KYL,DRI,Inbound to,Red,Midday,1.6867975299949434
STS,WES,Inbound to,Green,Morning,1.6841158223137889
HAR,DAW,Inbound to,Green,Midday,1.6811539133967819
GAL,CCK,Outbound to,Green,Evening,1.6746494554086608
GOL,JAM,Inbound to,Red,Evening,1.6741043276506309
HEU,RIA,Outbound to,Red,Evening,1.6739052700396653
MIL,BAL,Outbound to,Green,Midday,1.67297736688516
DAW,OGP,Inbound to,Green,Night,1.666752838115088
OGP,DOM,Inbound to,Green,Morning,1.6613091473249249
JAM,FOU,Inbound to,Red,Midday,1.6611999844442316
SUI,BLU,Outbound to,Red,Morning,1.6583525818288458
CHA,COW,Outbound to,Green,Midday,1.6558946205370728
TRY,STS,Outbound to,Green,Midday,1.6548911087298623
CPK,LEO,Outbound to,Green,Morning,1.6544002683879355
COO,KIN,Inbound to,Red,Morning,1.6500445408921995
DAW,HAR,Outbound to,Green,Evening,1.6400733070881692
FOU,MYS,Inbound to,Red,Evening,1.638070578490488
BLU,GOL,Inbound to,Red,Evening,1.63783400491843
FET,KIN,Inbound to,Red,Morning,1.6328611811524754
KIN,KYL,Inbound to,Red,Midday,1.6319640491912943
MIL,RAN,Inbound to,Green,Morning,1.6284154824830241
WIN,KIL,Outbound to,Green,Midday,1.6277053752967723
CPK,BAW,Outbound to,Green,Morning,1.6256937549337165
HAR,WES,Inbound to,Green,Morning,1.6249957264901072
MIL,KIL,Outbound to,Green,Morning,1.622633914256432
ABB,FOU,Outbound to,Red,Evening,1.6205916030064322
BEL,CVN,Outbound to,Red,Evening,1.6203914786194633
COO,KIN,Inbound to,Red,Evening,1.6189805485921673
BEL,CVN,Outbound to,Red,Midday,1.6174830410775938
BAW,LAU,Outbound to,Green,Midday,1.613179074374965
ABB,SMI,Outbound to,Red,Evening,1.612623810922918
HAR,DAW,Inbound to,Green,Evening,1.6114386567519554
RED,BLU,Inbound to,Red,Morning,1.6089657635275507
COW,CHA,Inbound to,Green,Morning,1.6038701071969963
SAN,GLE,Outbound to,Green,Evening,1.6036123773310436
KIN,COO,Outbound to,Red,Evening,1.6003706888686073
GDK,JER,Outbound to,Red,Evening,1.5953971906468225
RED,BEL,Outbound to,Red,Night,1.5922112810272677
JAM,DRI,Outbound to,Red,Morning,1.5898541780726894
BAW,CHE,Outbound to,Green,Evening,1.586588229054189
DAW,HAR,Outbound to,Green,Night,1.586197916616193
FOR,FET,Inbound to,Red,Midday,1.584933852629222
KIN,COO,Outbound to,Red,Morning,1.5835282463765634
LEO,CCK,Outbound to,Green,Night,1.5802990264603987
SMI,GDK,Inbound to,Red,Evening,1.57947753419849
CVN,KIN,Inbound to,Red,Evening,1.5755478067114908
BUS,JER,Outbound to,Red,Morning,1.575377246700829
RED,BEL,Outbound to,Red,Evening,1.5643911726542352
KYL,GOL,Inbound to,Red,Morning,1.5638814362671656
BLU,GOL,Inbound to,Red,Midday,1.5635066890722202
STS,DAW,Outbound to,Green,Night,1.560032857709528
WIN,KIL,Outbound to,Green,Morning,1.5588464164763116
COW,BAL,Outbound to,Green,Morning,1.5562854196021698
SAN,GLE,Outbound to,Green,Morning,1.552232168638624
