TramJourneyID,TravelTimeMinutes,Line,Direction,hour_of_day,ServiceDay,Period
BRI_BRO04_2020_02_14,61.96666666666667,Green,Inbound to,9,2020-02-14,Morning
BRI_BRO04_2020_02_15,55.96666666666667,Green,Inbound to,7,2020-02-15,Morning
BRI_BRO04_2020_02_16,57.96666666666667,Green,Inbound to,8,2020-02-16,Morning
BRI_BRO04_2020_02_19,60.96666666666667,Green,Inbound to,9,2020-02-19,Morning
BRI_BRO04_2020_02_20,57.766666666666666,Green,Inbound to,10,2020-02-20,Morning
BRI_BRO04_2020_02_22,59.95,Green,Inbound to,8,2020-02-22,Morning
BRI_BRO04_2020_02_23,57.93333333333333,Green,Inbound to,8,2020-02-23,Morning
BRI_BRO04_2020_02_24,62.916666666666664,Green,Inbound to,8,2020-02-24,Morning
BRI_BRO04_2020_02_29,54.96666666666667,Green,Inbound to,8,2020-02-29,Morning
BRI_BRO04_2020_03_01,56.0,Green,Inbound to,8,2020-03-01,Morning
BRI_BRO04_2020_03_02,60.016666666666666,Green,Inbound to,9,2020-03-02,Morning
BRI_BRO04_2020_03_03,61.93333333333334,Green,Inbound to,10,2020-03-03,Morning
BRI_BRO04_2020_03_04,63.85,Green,Inbound to,8,2020-03-04,Morning
BRI_BRO04_2020_03_05,59.96666666666667,Green,Inbound to,10,2020-03-05,Morning
BRI_BRO04_2020_03_06,59.95,Green,Inbound to,9,2020-03-06,Morning
BRI_BRO04_2020_03_07,57.983333333333334,Green,Inbound to,7,2020-03-07,Morning
BRI_BRO04_2020_03_08,57.0,Green,Inbound to,8,2020-03-08,Morning
BRI_BRO04_2020_03_09,57.95,Green,Inbound to,8,2020-03-09,Morning
BRI_BRO04_2020_03_10,56.96666666666667,Green,Inbound to,8,2020-03-10,Morning
BRI_BRO04_2020_03_11,62.95,Green,Inbound to,17,2020-03-11,Evening
BRI_BRO04_2020_03_12,58.95,Green,Inbound to,9,2020-03-12,Morning
BRI_BRO04_2020_03_13,61.95,Green,Inbound to,8,2020-03-13,Morning
BRI_BRO04_2020_03_14,55.96666666666667,Green,Inbound to,7,2020-03-14,Morning
BRI_BRO04_2020_03_15,57.93333333333334,Green,Inbound to,8,2020-03-15,Morning
BRI_BRO04_2020_03_16,58.983333333333334,Green,Inbound to,18,2020-03-16,Evening
BRI_BRO04_2020_03_17,57.96666666666667,Green,Inbound to,8,2020-03-17,Morning
