Stop,NextStop,Direction,Line,Period,AvgVolatilityMinutes
BAL,DUN,Outbound to,Green,Midday,0.1134121132797669
COO,HOS,Inbound to,Red,Night,0.11155362708865012
KIL,STI,Inbound to,Green,Evening,0.11134758492734179
BEE,MIL,Outbound to,Green,Night,0.10919460737471791
GAL,CPK,Inbound to,Green,Night,0.1067150973582001
CHA,BEE,Outbound to,Green,Night,0.10575793173951727
HEU,MUS,Outbound to,Red,Evening,0.10475416881533241
GRA,PHI,Outbound to,Green,Evening,0.10395252400933881
HOS,TAL,Inbound to,Red,Midday,0.10262844791006177
MYS,SDK,Outbound to,Red,Midday,0.10112332038617959
BEE,MIL,Outbound to,Green,Midday,0.10054879474658357
GOL,SUI,Outbound to,Red,Night,0.09481140882856252
SDK,TPT,Outbound to,Red,Evening,0.0933263228896787
GAL,LEO,Inbound to,Green,Morning,0.09172794370623132
GLE,CPK,Outbound to,Green,Night,0.08707973662032864
GDK,MYS,Outbound to,Red,Night,0.08288671603973534
MIL,COW,Outbound to,Green,Night,0.08252734380986095
TPT,GDK,Outbound to,Red,Night,0.08249579113843064
MIL,COW,Outbound to,Green,Midday,0.08242714030021232
GRA,PHI,Outbound to,Green,Midday,0.08162394090105336
DRI,GOL,Outbound to,Red,Night,0.07147373842484056
COW,KIL,Outbound to,Green,Morning,0.0707106781186545
GLE,GAL,Inbound to,Green,Midday,0.070005371444483
GRA,PHI,Outbound to,Green,Night,0.06421341782244869
GDK,MYS,Outbound to,Red,Evening,0.06317822534563565
COO,HOS,Inbound to,Red,Midday,0.059546294136696716
STI,DUN,Outbound to,Green,Morning,0.05892556509887896
RAN,CHA,Outbound to,Green,Night,0.05774638226957879
SDK,TPT,Outbound to,Red,Midday,0.05249777757241738
BEE,COW,Inbound to,Green,Evening,0.05124254592156428
COW,BEE,Outbound to,Green,Midday,0.04936924538545426
CHA,HAR,Outbound to,Green,Night,0.047140452079103196
CAB,BRD,Inbound to,Green,Night,0.04714045207910317
OGP,WES,Inbound to,Green,Midday,0.04714045207910316
DRI,KYL,Inbound to,Red,Midday,0.04714045207910316
HAR,DAW,Inbound to,Green,Night,0.044095855184409845
RIA,DRI,Inbound to,Red,Evening,0.04303314829119354
GDK,MYS,Outbound to,Red,Midday,0.04260556586325263
RAN,BEE,Inbound to,Green,Evening,0.0403725401191662
CHE,CCK,Inbound to,Green,Midday,0.03692267850265109
CHE,CCK,Inbound to,Green,Night,0.03535533905932756
STS,BEE,Outbound to,Green,Evening,0.03535533905932756
FOR,FET,Inbound to,Red,Morning,0.03535533905932741
JAM,GOL,Inbound to,Red,Midday,0.03535533905932738
CVN,BEL,Outbound to,Red,Morning,0.03535533905932738
COW,CHA,Inbound to,Green,Evening,0.03535533905932733
TPT,GDK,Outbound to,Red,Evening,0.03535533905932725
GOL,RIA,Outbound to,Red,Morning,0.03469443332443558
GLE,STI,Inbound to,Green,Night,0.033333333333333215
CHE,BRI,Inbound to,Green,Night,0.032166706727825435
RAN,BEE,Inbound to,Green,Midday,0.0319941313641479
DUN,COW,Outbound to,Green,Morning,0.02886751345948129
KIL,STI,Inbound to,Green,Night,0.02886751345948129
CAB,BRD,Outbound to,Green,Evening,0.02677772753504946
STI,KIL,Outbound to,Green,Midday,0.02591083979981248
BAW,GAL,Outbound to,Green,Evening,0.025458753860865768
JER,ABB,Outbound to,Red,Morning,0.023570226039551737
ABB,SMI,Outbound to,Red,Evening,0.023570226039551737
CIT,BEL,Inbound to,Red,Morning,0.023570226039551636
RAN,MIL,Outbound to,Green,Midday,0.02357022603955162
BEL,COO,Inbound to,Red,Night,0.02357022603955162
COW,WIN,Inbound to,Green,Morning,0.023570226039551587
GRA,CAB,Outbound to,Green,Midday,0.023570226039551587
CAB,GRA,Inbound to,Green,Morning,0.023570226039551584
CAB,GRA,Inbound to,Green,Night,0.023570226039551584
HAR,STS,Outbound to,Green,Night,0.023570226039551584
HAR,RAN,Inbound to,Green,Morning,0.023570226039551584
CVN,CIT,Outbound to,Red,Night,0.02357022603955154
OGP,GRA,Inbound to,Green,Night,0.02357022603955154
CVN,FOR,Outbound to,Red,Night,0.0235702260395515
STI,DUN,Inbound to,Green,Morning,0.0235702260395515
GOL,KYL,Outbound to,Red,Night,0.0235702260395515
KIN,BLU,Inbound to,Red,Morning,0.0235702260395515
BRO,GRA,Outbound to,Green,Morning,0.0235702260395515
LAU,CHE,Inbound to,Green,Morning,0.022128487017363568
BAL,KIL,Inbound to,Green,Night,0.021877280866767435
LAU,CHE,Inbound to,Green,Midday,0.021407617506269554
STS,CHA,Inbound to,Green,Morning,0.020971762320196527
BAL,MIL,Inbound to,Green,Evening,0.020326313239628295
BAL,MIL,Inbound to,Green,Midday,0.019641855032959742
CAB,BRD,Inbound to,Green,Evening,0.019245008972987525
COW,BEE,Outbound to,Green,Night,0.01923128035207131
DUN,BAL,Inbound to,Green,Evening,0.018091256403528235
WIN,BEE,Outbound to,Green,Morning,0.017677669529663688
KIN,COO,Outbound to,Red,Night,0.017677669529663625
LAU,CHE,Inbound to,Green,Evening,0.017357463121731562
CHA,RAN,Inbound to,Green,Evening,0.01726196820900623
DUN,BAL,Inbound to,Green,Night,0.0164676772339306
GLE,GAL,Inbound to,Green,Evening,0.016249808666557897
